#,Visible?,Starred?,Bio View:1107 Proteins in 1006 Clusters,Accession Number,Molecular Weight,Protein Grouping Ambiguity,Fisher's Exact Test (p-value)*(p < 0.00375),Quantitative Profile,C1,PX1-I,PX2,PX1-P
,TRUE,Empty,Cluster of Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4 (VIME_HUMAN),VIME_HUMAN [2],54 kDa,TRUE,0.16,[],1612,1726,1682,1314
,TRUE,Empty,    Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4,VIME_HUMAN,54 kDa,TRUE,0.14,[],1410,1570,1449,1224
,TRUE,Empty,    Desmin OS=Homo sapiens OX=9606 GN=DES PE=1 SV=3,DESM_HUMAN,54 kDa,TRUE,0.38,[],322,331,327,169
,TRUE,Empty,"Cluster of Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1 (ACTC_HUMAN)",ACTC_HUMAN [6],42 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",814,1902,1397,1508
,TRUE,Empty,"    Actin, alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1",ACTC_HUMAN,42 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",421,1054,752,515
,TRUE,Empty,"    Actin, cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",ACTB_HUMAN,42 kDa,TRUE,0.00013,"Control low, PEX eye - bi high",582,1073,843,1174
,TRUE,Empty,"    Actin, cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1",ACTG_HUMAN,42 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",585,1061,855,1165
,TRUE,Empty,"    Actin, aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1",ACTA_HUMAN,42 kDa,TRUE,< 0.00010,"Control low, PEX eye - bi high",417,693,751,497
,TRUE,Empty,"    Actin, cytoplasmic 1 (Fragment) OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1",A0A2R8YFE2_HUMAN,9 kDa,TRUE,0.23,[],50,92,87,85
,TRUE,Empty,    Beta-actin-like protein 2 OS=Homo sapiens OX=9606 GN=ACTBL2 PE=1 SV=2,ACTBL_HUMAN,42 kDa,TRUE,0.29,[],200,194,196,152
,TRUE,Empty,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2,sp|P02768|ALBU_HUMAN,69 kDa,,< 0.00010,"Control high, PEX eye - bi low",1264,2304,789,1640
,TRUE,Empty,Glyceraldehyde-3-phosphate dehydrogenase OS=Homo sapiens OX=9606 GN=GAPDH PE=1 SV=3,sp|P04406|G3P_HUMAN,36 kDa,,< 0.00010,"Control low, PEX eye - bi high",601,1135,796,1696
,TRUE,Empty,Histone H4 OS=Homo sapiens OX=9606 GN=HIST1H4A PE=1 SV=2,H4_HUMAN,11 kDa,,< 0.00010,"Control low, PEX eye - bi high",681,466,1153,1675
